timestamp,temp,hum,press,light,airq,rain,in_temp,in_hum,cputemp
2021-03-19 18:00:54 UTC,24.8,94.1,1729.99,7.5,3408,4656,30,55,45.622
2021-03-19 18:00:11 UTC,24.8,94.4,1729.98,7.5,3392,3808,30,55,45.622
2021-03-19 18:06:53 UTC,25,93.6,1730.69,0,3408,2432,30,55,46.16
2021-03-19 18:04:46 UTC,25,94.3,1730.48,6.7,3424,3792,30,55,46.16
2021-03-19 18:05:07 UTC,25,93.6,1730.47,6.7,3392,3360,30,55,46.16
2021-03-19 18:05:49 UTC,25,94.1,1730.55,6.7,3424,3216,30,55,46.16
2021-03-19 18:09:52 UTC,25.2,93.1,1730.66,6.7,3424,2592,30,55,46.16
2021-03-19 18:08:06 UTC,25.2,93.3,1730.5,6.7,3408,2320,30,55,46.16
2021-03-19 18:08:28 UTC,25.2,93.4,1730.53,6.7,3408,2368,30,55,46.16
2021-03-19 18:08:49 UTC,25.2,93.4,1730.62,6.7,3424,2384,30,55,46.16
2021-03-19 18:03:22 UTC,24.9,94.3,1730.47,7.5,3424,6096,30,55,46.16
2021-03-19 18:04:04 UTC,24.9,94.7,1730.54,6.7,3424,5584,30,55,46.16
2021-03-19 18:06:11 UTC,25.1,93.9,1730.57,6.7,3424,3072,30,55,46.16
2021-03-19 18:06:32 UTC,25.1,94.3,1730.61,6.7,3424,3104,30,55,46.16
2021-03-19 17:58:47 UTC,24.6,94.3,1730.2,7.5,3376,6160,30,55,46.16
2021-03-19 18:02:18 UTC,24.8,93.6,1730.25,6.7,3392,4864,30,55,46.16
2021-03-19 17:52:04 UTC,24.5,94.4,1729.08,11.7,3328,20368,30,55,45.084
2021-03-19 17:55:16 UTC,24.5,93.9,1729.26,10,3344,7648,30,55,45.084
2021-03-19 17:52:25 UTC,24.5,94.2,1729.2,11.7,3328,20496,30,55,45.084
2021-03-19 17:54:33 UTC,24.5,94.9,1729.26,10,3376,7200,30,55,45.084
2021-03-19 17:55:37 UTC,24.4,93.8,1729.43,9.2,3344,7408,30,55,45.084
2021-03-19 17:55:58 UTC,24.4,94.3,1729.59,9.2,3360,6416,30,55,45.084
2021-03-19 18:03:00 UTC,24.9,94.3,1730.42,6.7,3408,4304,30,55,45.084
2021-03-19 17:56:41 UTC,24.6,94.5,1729.59,8.3,3360,4496,30,55,45.084
2021-03-19 17:57:44 UTC,24.6,94.5,1729.84,8.3,3360,4752,30,55,45.084
2021-03-19 17:58:05 UTC,24.6,94.6,1729.98,8.3,3376,5936,30,55,45.084
2021-03-19 17:57:23 UTC,24.6,94.4,1729.74,8.3,3360,5632,30,55,45.084
2021-03-19 17:58:26 UTC,24.6,94.3,1730.1,8.3,3392,5152,30,55,45.084
2021-03-19 18:01:36 UTC,24.8,94.6,1730.1,7.5,3408,5664,30,55,45.084
2021-03-19 18:00:33 UTC,24.8,94.3,1729.97,7.5,3408,4672,30,55,45.084
2021-03-15 01:37:40 UTC,25.5,91.5,1728.89,6.7,3440,25536,31,54,46.16
2021-03-15 01:39:05 UTC,25.5,91.3,1728.75,6.7,3424,25520,31,54,46.16
2021-03-15 01:40:51 UTC,25.5,91.3,1728.69,6.7,3392,25424,31,54,46.16
2021-03-15 01:41:12 UTC,25.5,91.2,1728.67,6.7,3408,25520,31,54,46.16
2021-03-15 01:35:33 UTC,25.4,91.5,1728.81,6.7,3472,25456,31,54,46.16
2021-03-15 01:33:25 UTC,25.4,91.6,1729.15,6.7,3424,25680,31,54,46.16
2021-03-15 01:34:07 UTC,25.4,91.6,1728.97,6.7,3440,25440,31,54,46.16
2021-03-15 01:43:40 UTC,25.6,91.3,1728.55,6.7,3424,25584,31,54,46.16
2021-03-15 01:46:09 UTC,25.8,91,1728.59,6.7,3456,25440,31,54,46.16
2021-03-15 01:46:30 UTC,25.8,91,1728.6,6.7,3472,25552,31,54,46.16
2021-03-15 01:46:51 UTC,25.8,91,1728.63,6.7,3504,25472,31,54,46.16
2021-03-15 01:36:16 UTC,25.5,91.5,1728.89,6.7,3408,25552,31,54,45.622
2021-03-15 01:38:01 UTC,25.5,91.5,1728.86,6.7,3392,25552,31,54,45.622
2021-03-15 01:39:27 UTC,25.5,91.3,1728.83,6.7,3328,25520,31,54,45.622
2021-03-15 01:40:30 UTC,25.5,91.3,1728.71,6.7,3456,25360,31,54,45.622
